2021-08-24 07:57:34,115 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - Connection Established!
2021-08-24 07:57:39,624 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [a]
2021-08-24 07:57:39,631 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [s]
2021-08-24 07:57:39,691 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [d]
2021-08-24 07:57:39,738 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [f]
2021-08-24 07:57:39,957 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [s]
2021-08-24 07:57:39,973 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [a]
2021-08-24 07:57:40,020 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [d]
2021-08-24 07:57:40,129 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [g]
2021-08-24 07:57:40,332 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [f]
2021-08-24 07:57:40,332 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [d]
2021-08-24 07:57:40,477 - <socket.socket fd=1268, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.5', 5050), raddr=('192.168.1.5', 50517)> - ('192.168.1.5', 50517) - [h]
